GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
2048,be.unamur.game2048.views,ColorPalette,111,0,0,0,6,0,2,0,2,0
2048,be.unamur.game2048.views,GamePanel.new MouseAdapter() {...},19,0,2,0,6,0,3,0,2,0
2048,be.unamur.game2048.views,GamePanel.new KeyAdapter() {...},45,0,7,0,13,0,7,0,2,0
2048,be.unamur.game2048.views,GamePanel,293,0,14,0,55,0,14,0,7,0
2048,be.unamur.game2048.models,GameParams,3,0,0,0,1,0,1,0,1,0
2048,be.unamur.game2048.models,Tile,6,108,3,15,1,27,3,16,0,10
2048,be.unamur.game2048.models,GameState,0,44,0,0,0,2,0,1,0,1
2048,be.unamur.game2048.models,Grid,73,48,8,0,13,12,8,5,4,5
2048,be.unamur.game2048.helpers,GridHelper,48,0,2,0,12,0,7,0,6,0
2048,be.unamur.game2048,Game,43,0,0,0,15,0,3,0,3,0
2048,be.unamur.game2048.controllers,GameController,253,91,47,9,56,24,36,9,11,6
